period,programme,scheme,scheme_description,basis,nationality_code,nationality,recipients
2019Q4,Children,CB,Child Benefit,Social Assistance,01,Irish nationals,504299
2019Q4,Children,CB,Child Benefit,Social Assistance,03,United Kingdom,20088
2019Q4,Children,CB,Child Benefit,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),11618
2019Q4,Children,CB,Child Benefit,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),71199
2019Q4,Children,CB,Child Benefit,Social Assistance,06,Other nationals,33898
2019Q4,Children,FIS,Working Family Payment,Social Assistance,00,All,57241
2019Q4,Children,FIS,Working Family Payment,Social Assistance,01,Irish nationals,40850
2019Q4,Children,FIS,Working Family Payment,Social Assistance,03,United Kingdom,1961
2019Q4,Children,FIS,Working Family Payment,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),795
2019Q4,Children,FIS,Working Family Payment,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),11217
2019Q4,Children,FIS,Working Family Payment,Social Assistance,06,Other nationals,2418
2019Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,00,All,85800
2019Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,01,Irish nationals,77464
2019Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,03,United Kingdom,3709
2019Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),342
2019Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),2801
2019Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,06,Other nationals,1484
2019Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,00,All,3735
2019Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,01,Irish nationals,3267
2019Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,03,United Kingdom,103
2019Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),29
2019Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),291
2019Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,06,Other nationals,45
2019Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,00,All,88181
2019Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,01,Irish nationals,74268
2019Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,03,United Kingdom,2348
2019Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),985
2019Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),9338
2019Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,06,Other nationals,1242
2019Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,00,All,148802
2019Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,01,Irish nationals,132930
2019Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,03,United Kingdom,6377
2019Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),753
2019Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),6464
2019Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,06,Other nationals,2278
2019Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,00,All,59385
2019Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,01,Irish nationals,55075
2019Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,03,United Kingdom,1564
2019Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),313
2019Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),2223
2019Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,06,Other nationals,210
2019Q4,Pensions,SPC,State Pension Contributory,Social Insurance,00,All,432383
2019Q4,Pensions,SPC,State Pension Contributory,Social Insurance,01,Irish nationals,416670
2019Q4,Pensions,SPC,State Pension Contributory,Social Insurance,03,United Kingdom,10172
2019Q4,Pensions,SPC,State Pension Contributory,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),1966
2019Q4,Pensions,SPC,State Pension Contributory,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),1656
2019Q4,Pensions,SPC,State Pension Contributory,Social Insurance,06,Other nationals,1919
2019Q4,Pensions,SPNC,State Pension Non Contributory,Social Assistance,00,All,96220
2019Q4,Pensions,SPNC,State Pension Non Contributory,Social Assistance,01,Irish nationals,88025
2019Q4,Pensions,SPNC,State Pension Non Contributory,Social Assistance,03,United Kingdom,5125
2019Q4,Pensions,SPNC,State Pension Non Contributory,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),585
2019Q4,Pensions,SPNC,State Pension Non Contributory,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),1519
2019Q4,Pensions,SPNC,State Pension Non Contributory,Social Assistance,06,Other nationals,966
2019Q4,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,00,All,123957
2019Q4,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,01,Irish nationals,118306
2019Q4,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,03,United Kingdom,2968
2019Q4,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),545
2019Q4,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),1351
2019Q4,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,06,Other nationals,787
2019Q4,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,00,All,66058
2019Q4,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,01,Irish nationals,57483
2019Q4,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,03,United Kingdom,4475
2019Q4,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),510
2019Q4,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),2375
2019Q4,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,06,Other nationals,1215
2019Q4,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,00,All,108223
2019Q4,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,01,Irish nationals,104915
2019Q4,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,03,United Kingdom,2373
2019Q4,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),320
2019Q4,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),443
2019Q4,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,06,Other nationals,172
2019Q4,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,00,All,17783
2019Q4,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,01,Irish nationals,11816
2019Q4,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,03,United Kingdom,767
2019Q4,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),335
2019Q4,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),3454
2019Q4,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,06,Other nationals,1411
2019Q4,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,00,All,31060
2019Q4,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,01,Irish nationals,25178
2019Q4,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,03,United Kingdom,599
2019Q4,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),751
2019Q4,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),3173
2019Q4,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,06,Other nationals,1359
2019Q4,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,00,All,41711
2019Q4,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,01,Irish nationals,35374
2019Q4,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,03,United Kingdom,1215
2019Q4,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),285
2019Q4,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),3241
2019Q4,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,06,Other nationals,1596
2019Q4,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,00,All,129
2019Q4,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,01,Irish nationals,112
2019Q4,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,03,United Kingdom,6
2019Q4,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),2
2019Q4,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),8
2019Q4,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,06,Other nationals,1
2019Q4,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,00,All,7482
2019Q4,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,01,Irish nationals,6067
2019Q4,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,03,United Kingdom,176
2019Q4,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),203
2019Q4,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),693
2019Q4,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,06,Other nationals,343
2019Q4,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,00,All,168066
2019Q4,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,01,Irish nationals,135499
2019Q4,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,03,United Kingdom,7347
2019Q4,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),2023
2019Q4,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),16313
2019Q4,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,06,Other nationals,6884
2019Q4,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,00,All,57795
2019Q4,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,01,Irish nationals,47089
2019Q4,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,03,United Kingdom,1650
2019Q4,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),1050
2019Q4,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),6986
2019Q4,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,06,Other nationals,1020
2019Q4,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,00,All,1392
2019Q4,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,01,Irish nationals,1001
2019Q4,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,03,United Kingdom,124
2019Q4,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),20
2019Q4,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),187
2019Q4,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,06,Other nationals,60
2020Q1,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,00,All,6116
2020Q1,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,01,Irish nationals,4540
2020Q1,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,03,United Kingdom,209
2020Q1,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),65
2020Q1,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),975
2020Q1,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,06,Other nationals,327
2020Q1,Children,CB,Child Benefit,Social Assistance,00,All,642825
2020Q1,Children,CB,Child Benefit,Social Assistance,01,Irish nationals,504386
2020Q1,Children,CB,Child Benefit,Social Assistance,03,United Kingdom,20108
2020Q1,Children,CB,Child Benefit,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),11814
2020Q1,Children,CB,Child Benefit,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),71580
2020Q1,Children,CB,Child Benefit,Social Assistance,06,Other nationals,34937
2020Q1,Children,FIS,Working Family Payment,Social Assistance,00,All,57257
2020Q1,Children,FIS,Working Family Payment,Social Assistance,01,Irish nationals,40746
2020Q1,Children,FIS,Working Family Payment,Social Assistance,03,United Kingdom,1967
2020Q1,Children,FIS,Working Family Payment,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),814
2020Q1,Children,FIS,Working Family Payment,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),11221
2020Q1,Children,FIS,Working Family Payment,Social Assistance,06,Other nationals,2509
2020Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,00,All,88000
2020Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,01,Irish nationals,79346
2020Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,03,United Kingdom,3793
2020Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),367
2020Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),2936
2020Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,06,Other nationals,1558
2020Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,00,All,3938
2020Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,01,Irish nationals,3440
2020Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,03,United Kingdom,105
2020Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),34
2020Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),313
2020Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,06,Other nationals,46
2020Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,00,All,98403
2020Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,01,Irish nationals,82199
2020Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,03,United Kingdom,2632
2020Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),1096
2020Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),10934
2020Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,06,Other nationals,1542
2020Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,00,All,150851
2020Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,01,Irish nationals,134582
2020Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,03,United Kingdom,6460
2020Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),774
2020Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),6670
2020Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,06,Other nationals,2365
2020Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,00,All,59925
2020Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,01,Irish nationals,55452
2020Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,03,United Kingdom,1582
2020Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),320
2020Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),2361
2020Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,06,Other nationals,210
2020Q1,Pensions,SPC,State Pension Contributory,Social Insurance,00,All,438247
2020Q1,Pensions,SPC,State Pension Contributory,Social Insurance,01,Irish nationals,422107
2020Q1,Pensions,SPC,State Pension Contributory,Social Insurance,03,United Kingdom,10337
2020Q1,Pensions,SPC,State Pension Contributory,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),2028
2020Q1,Pensions,SPC,State Pension Contributory,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),1802
2020Q1,Pensions,SPC,State Pension Contributory,Social Insurance,06,Other nationals,1973
2020Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,00,All,96417
2020Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,01,Irish nationals,88016
2020Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,03,United Kingdom,5187
2020Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),597
2020Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),1592
2020Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,06,Other nationals,1025
2020Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,00,All,124422
2020Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,01,Irish nationals,118629
2020Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,03,United Kingdom,3001
2020Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),571
2020Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),1411
2020Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,06,Other nationals,810
2020Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,00,All,67185
2020Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,01,Irish nationals,58437
2020Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,03,United Kingdom,4514
2020Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),524
2020Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),2445
2020Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,06,Other nationals,1265
2020Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,00,All,110219
2020Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,01,Irish nationals,106830
2020Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,03,United Kingdom,2428
2020Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),326
2020Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),456
2020Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,06,Other nationals,179
2020Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,00,All,16499
2020Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,01,Irish nationals,10980
2020Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,03,United Kingdom,717
2020Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),310
2020Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),3188
2020Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,06,Other nationals,1304
2020Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,00,All,30426
2020Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,01,Irish nationals,24731
2020Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,03,United Kingdom,551
2020Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),771
2020Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),3000
2020Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,06,Other nationals,1373
2020Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,00,All,42124
2020Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,01,Irish nationals,35681
2020Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,03,United Kingdom,1209
2020Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),286
2020Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),3321
2020Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,06,Other nationals,1627
2020Q1,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,00,All,862
2020Q1,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,01,Irish nationals,741
2020Q1,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,03,United Kingdom,25
2020Q1,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),23
2020Q1,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),51
2020Q1,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,06,Other nationals,22
2020Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,00,All,7748
2020Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,01,Irish nationals,6279
2020Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,03,United Kingdom,192
2020Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),200
2020Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),634
2020Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,06,Other nationals,443
2020Q1,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,00,All,224813
2020Q1,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,01,Irish nationals,159163
2020Q1,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,03,United Kingdom,7143
2020Q1,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),6836
2020Q1,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),27377
2020Q1,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,06,Other nationals,24294
2020Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,00,All,165417
2020Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,01,Irish nationals,133002
2020Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,03,United Kingdom,7271
2020Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),2029
2020Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),16523
2020Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,06,Other nationals,6592
2020Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,00,All,67874
2020Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,01,Irish nationals,55178
2020Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,03,United Kingdom,1921
2020Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),1341
2020Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),8207
2020Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,06,Other nationals,1227
2020Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,00,All,1388
2020Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,01,Irish nationals,998
2020Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,03,United Kingdom,128
2020Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),18
2020Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),186
2020Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,06,Other nationals,58
2020Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,00,All,4973
2020Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,01,Irish nationals,3682
2020Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,03,United Kingdom,168
2020Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),57
2020Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),772
2020Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,06,Other nationals,294
2020Q2,Children,CB,Child Benefit,Social Assistance,00,All,642694
2020Q2,Children,CB,Child Benefit,Social Assistance,01,Irish nationals,503435
2020Q2,Children,CB,Child Benefit,Social Assistance,03,United Kingdom,20001
